duplicate	Where are the Unity Launcher .desktop files?	How to edit .desktop files in unity-2d?
non-duplicate	How do I view all available HDD's/partitions?	Moving encrypted home folder to a new hard drive
duplicate	How do I install Adobe Flash player?	Problem with installing Flash
duplicate	Switching tabs in Gedit 3.* with the mouse wheel	How to enable mouse wheel scroll of tabs in gedit?
non-duplicate	Replace multiple files with one file	Huawei EC156 modem no longer detected after disconnected
non-duplicate	Should the spell-checher work with LibreOffice Base	All nodes that are in Range are not receiving Message in LEACH
duplicate	What hardware does Ubuntu Touch support?	Sony Ericsson Xperia X2
duplicate	A well-supported wireless PCI adapter for Ubuntu 12.04?	Wireless Card for Ubuntu
non-duplicate	Realtek Card Reader not working	How do I put a web application on the Launcher?
duplicate	wubildr.mbr missing or corrupt	Wubildr.mbr missing or corrupt 0xc0000098
non-duplicate	Sound output starts delayed	Remove command not working
non-duplicate	Webcorpus in ubuntu	Grep through subdirectories
duplicate	How do I resolve unmet dependencies?	Problem with installing software
duplicate	My computer boots to a black screen, what options do I have to fix it?	ubuntu 12.04 doesn't boot all the time
non-duplicate	How to copy files from a remote computer?	insert $duration variable inside another line of code in a sh file
duplicate	How to configure TATA Photon+ EC1261 HUAWEI	Ubuntu 11.04 does not detect my tata photon +
duplicate	Which version of Ubuntu can I install on these specs?	Which version of ubuntu would run the best?
non-duplicate	Gsettings and dconf	Does updating my graphics card change my initrd file?
non-duplicate	setUrgent is not working in a webapp	Cannot restart apache after installing mod_wsgi
duplicate	My computer boots to a black screen, what options do I have to fix it?	Boot to a black screen but recovery mode boot works
non-duplicate	How to enable home directory encryption for a particular user?	How to sandbox applications?
duplicate	What should I do when Ubuntu freezes?	Randomly Freezes - How Can I Diagnose the Problem?
non-duplicate	Do I have the correct Drivers for my machine?	How to delete words from txt file, that exists on another txt file?
duplicate	No facility exists in Update Manager to upgrade to a new version, why?	Ubuntu 12.04.2 LTS
duplicate	Unity doesn't load, no Launcher, no Dash appears	Problem on starting ubuntu
duplicate	How do I repartition with GParted?	Resizing partition capacity?
duplicate	How to access "Applications" menu in Ubuntu Unity Desktop 	Categorized menus as it was pre-11.04
non-duplicate	Problem Installing Ubuntu Using Windows Installer	Unparseable output from pylint in emacs
duplicate	Reinstalling Ubuntu without formating /home, as well as without any old config files?	reinstall ubuntu 12.04 preserving /home folder
duplicate	Where do I get extra Compiz plugins?	Can you add extra animations for the Compiz manager animations editor?
non-duplicate	Tomboy won't start	What's the difference between GNOME Remix and GNOME Shell?
duplicate	Can I skip over releases when upgrading?	Is possible to update from 12.04 to 13.04?
non-duplicate	wakeonlan does not work, Trying to troubleshoot	How to remove the "apple" icon from the Mac OS X Plymouth theme
duplicate	How can I change the background color of the unity launcher?	Is it possible to change the colour of the launcher/dash "glass"?
non-duplicate	PHP-FPM dynamic vs ondemand Speed	Right click doesn't work on HP mini 210 touchpad
duplicate	How to install SqlPlus?	SQLPLUS on Ubuntu 12.04
duplicate	Enabling Nvidia driver messes up splash screen	Change boot screen resolution
non-duplicate	How to install codecs offline	Can't install graphic drivers in 12.04
non-duplicate	airmon-ng start wlan0 has no answer for Interface,Chipset, Driver	No sound under Ubuntu 12.10
duplicate	My ubuntu partition was deleted and I can't boot from either a DVD or USB	grub rescue...delete ubuntu...windows 8...purple screen
non-duplicate	OAFIID:GNOME_FastUserSwitchApplet Error	After 12.04 to 12.10 upgrade (64bit), xorg held back and unable to install wine
non-duplicate	Add "open in terminal" shortcut	How to download 32 bit ubuntu on a 64 bit machine?
duplicate	Ubuntu One does not sync: firewall settings?	What is the default ubuntu 12.10 firewall?
duplicate	Virtualbox Kernel driver not installed	VirtualBox error message (rc=-1908) after kernel upgrade
duplicate	Purple Screen then Black Screen while Booting from CD or Windows Install	Installation failure on AMD quad core on A8 64bit
non-duplicate	Cairo Dock doesn't switch between windows by [Alt]+[Tab]	apt-get upgrade gives 'failed: Connection timed out', How to fix this?
non-duplicate	MythTV in dmesg though it is not installed	How install GTK+ 3 for Python
duplicate	How to change mouse cursor and theme?	Why if I change my cursor, point to the launcher or the top bar, the cursor gets back to the original ones?
non-duplicate	Use Postfix to dump mails to local folder using regex	Cannot update because of Missing packages (12.04 LTS)
duplicate	Installing Ubuntu on a Pre-Installed Windows 8 (64-bit) System (UEFI Supported)	ubuntu 12.04 windows 8 UEFI dual boot
duplicate	Copying files to SD card not saving	How to best copy large files to an sd card?
duplicate	What kinds of desktop environments and shells are available?	How to change menu system and appearance, please?
duplicate	ls on grub rescue - unknown filesystem	Grub Rescue Error: Unknown Filesystem
duplicate	Flash player + YouTube HD = crashing plugin	Pulseaudio/flash overloading CPU
duplicate	Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?	Unable to use package manager due to "exclusive lock" error
duplicate	Can I boot Ubuntu from DVD	Can I boot Ubuntu from a DVD?
non-duplicate	Network traffic reports as zero bytes	Dual WAN in Ubuntu for 2 Different Proxy servers in One Ubuntu
non-duplicate	Installing Ubuntu touch in a Samsung Galaxy Tab 2 10.1 GT-P5100	How can I deploy a new service in Juju GUI specifying the destination machine?
non-duplicate	mediatomb autostart doesn't work	Removing partition by reinstalling Ubuntu
duplicate	How do I put a web application on the Launcher?	How do I pin a website shortcut to the Launcher?
duplicate	How can I fix a 404 Error when updating packages?	Update manager Failed to download repository information
non-duplicate	Replace Win7 w/ Win8 after setup w/ Ubuntu 13.10 dual boot	dvdrip - cannot extract
non-duplicate	Can I make the Gnome 3 overlay show the current wallpaper rather than the wallpaper on login?	Coruppted Jenkins need to reinstall
non-duplicate	trying to run sudo apache2ctl restart installing koha	Is it possible to decrease the font size in the Firefox bookmarks bar?
duplicate	Unable to enable Wifi on a Lenovo B570	Wifi randomly fails with Broadcom BCM 4314
duplicate	How do I install fonts?	How to install different fonts in Ubuntu?
non-duplicate	Is there another way to restart the sound system if pulseaudio/ALSA don't work?	Is a GNOME3 fallback session without the panels possible on the LiveCD?
non-duplicate	Sync Tomboy Notes	How do I prevent ubuntu server from blanking the screen?
non-duplicate	How read local email in thunderbird?	Why i cannot install homerun launcher?
non-duplicate	Asus pa279q 2560x1440 resolution nvidia hdmi	(Solve) Connecting Ubuntu Server 12.04 to public network (internet access)
non-duplicate	Installing Ubuntu Server on a SONY VAIO with NO hardware-virtualization	Sleeping doesn't work
duplicate	How do I convert .ts files into something useful?	How to convert unconvertable & unviewable .ts files?
non-duplicate	How to recover from 'sudo rm -rf' command?	ubuntu 13 wifi connection problem
duplicate	The battery indicator in Unity panel not showing up	Battery indicator missing, ubuntu 12.04
duplicate	What happened to the ia32-libs package?	Couldn't find package ia32-libs
duplicate	How would I install Picasa 3.9?	how can I install picasa into Ubuntu 12.04 LTS?
non-duplicate	How can I try Ubuntu without changing anything on my computer?	CPU working hard while sleeping after upgrading to 12.04
non-duplicate	Reset Keyboard Shortcuts Ubuntu 12.10 (compiz cube issue)	Apahce Website - Uploading files and download
duplicate	How do I install and use the latest version of GNOME?	How to install Gnome 3.2 in Ubuntu 12.04?
duplicate	Why does a Ubuntu guest in VirtualBox run very, very slowly?	How do I speed up my performance on my Ubuntu 13.04 VirtualBox Virtual Machine?
non-duplicate	LightDM configuration files	What is the difference between adduser and useradd?
duplicate	Wiped Ubuntu files, bootloader still there, how can I remove it and restore Windows?	UNINSTALL Ubuntu? Help!
non-duplicate	RAID Driver ubuntu 13.10	How can I change xfce bottom panel to the top?
duplicate	How to verify whether I have updated from beta to stable?	How to upgrade 12.10 beta 2 version to 12.10 final release
non-duplicate	How to make an executable file to update mysql database?	last -t [date] not filtering results by date
non-duplicate	Zoneminder on 14.04 cannot click on Add new monitor	Many intro questions re ubuntu on nexus 7; dual-boot, capabilities
duplicate	What is the best way to partition, and what is the best file-system for a new Hard Disk?	JFS vs. EXT4 vs. EXT3
duplicate	How do I install Ubuntu to a USB key? (without using Startup Disk Creator)	How To Install Ubuntu To A Usb Drive from an iso image
duplicate	What should I do when Ubuntu freezes?	12.10 freezeing. Nothing works except the power button
duplicate	how to disable Ctrl+Q system wide	Free Up CTRL+Q in Ubuntu 12.04 LTS
duplicate	How to install Wine	Shader Model 3.0 not recognized in Wine
non-duplicate	Phonon - Audio Hardware Setup	Unable to open/install 12.04 after downloading
non-duplicate	How to make linux-{image,header}-3.11.x satisfy linux-generic dependencies?	Wifi adapter not working on an Acer 5755G
non-duplicate	error ccny_g2o [FAIL] - Mapping	unable to use/locate sudo
non-duplicate	nautilus elementary coverflow not working	Is there a way to avoid Skype and Pidgin windows to show up at startup
non-duplicate	xdotool key XF86AudioMute/RaiseVolume/LowerVolume not working	How to switch off caching for usb device when writing to it?
duplicate	How do I resolve unmet dependencies?	"No space left on device" while installing packages
