1	Полицейским разрешат стрелять на поражение по гражданам с травматикой.	Полиции могут разрешить стрелять по хулиганам с травматикой.
1	Право полицейских на проникновение в жилище решили ограничить.	Правила внесудебного проникновения полицейских в жилище уточнят.
1	Президент Египта ввел чрезвычайное положение в мятежных городах.	Власти Египта угрожают ввести в стране чрезвычайное положение.
0	Вернувшихся из Сирии россиян волнует вопрос трудоустройства на родине.	Самолеты МЧС вывезут россиян из разрушенной Сирии.
1	В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.	Самолеты МЧС вывезут россиян из разрушенной Сирии.
1	Приставы соберут отпечатки пальцев российских должников.	Приставы снимут отпечатки пальцев у злостных неплательщиков.
0	На саратовского дебошира с борта самолета Москва - Хургада заведено дело.	Саратовский дебошир отказывается возвращаться домой из Египта.
1	ЦИК хочет отказаться от электронной системы подсчета голосов.	ЦИК может отказаться от электронных средств подсчета голосов.
0	Суд Петербурга оставил на потом дело о гибели подростка в полиции.	Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.
0	Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.	Обама продлил полномочия НАСА по сотрудничеству с Россией.
1	Москвичи смогут забронировать в Интернете место на кладбище.	В Москве можно будет забронировать место на кладбище через интернет.
0	Въезд в центр Москвы автомобилям с двигателями Евро-2 не запрещали.	Сборная России пробилась в плей-офф чемпионата мира по хоккею с мячом.
1	В Подмосковье произошел пожар на железной дороге.	В Подмосковье загорелись цистерны с бензином.
1	Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.	Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.
1	Мужчина из Подмосковья случайно убил жену в Новый год.	Житель Подмосковья случайно убил жену на новогоднем застолье.
1	Избежать фискального обрыва: Сенат США поддержал повышение налогов.	Сенат США не допустит фискального обрыва.
1	Фискальный обрыв в США временно предотвращен.	Сенат США не допустит фискального обрыва.
1	Житель Украины расстрелял посетителей кафе.	На Украине мужчина через окно расстрелял посетителей кафе.
1	В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.	В давке у стадиона в Кот-д’Ивуаре погибли 60 человек.
1	В Абхазии отомстили за Деда Хасана.	В Абхазии убили врага Деда Хасана.
1	Чечня попросила националистов составить кодекс поведения кавказцев.	Националисты помогут Чечне составить кодекс поведения кавказцев.
1	В новогоднюю ночь во Франции сожгли больше тысячи машин.	В новогоднюю ночь во Франции сожгли 1193 автомобиля.
1	В Анголе в давке во время церковной службы погибли 10 человек.	В ходе давки на церковной службе в Анголе погибли 10 человек.
1	Morgan Stanley взял на работу бывшего зампреда Банка России.	Бывший глава ФСФР нашел работу в Morgan Stanley.
1	Конгресс США утвердил план по предотвращению фискального обрыва.	Палата представителей утвердила план предотвращения фискального обрыва.
1	Счетная палата проверит Газпром на непрофильные активы.	Счетная палата проверит Газпром впервые за пять лет.
1	Новые комиксы о пророке Мухаммеде появились во Франции.	Во Франции издали комикс по мотивам жизни пророка Мухаммада.
1	Число убитых в ходе конфликта в Сирии превысило 60 тысяч.	В ходе сирийского конфликта погибли 60 тысяч человек.
1	В США скончалась звезда эстрады 1950-х Патти Пейдж.	Скончалась американская певица Патти Пейдж.
1	Сенат США единогласно осудил закон Димы Яковлева.	Сенат США единогласно осудил запрет на усыновление.
1	Госдума еще на шаг приблизила антитабачный закон.	Госдума приняла антитабачный законопроект во втором чтении.
0	ЛДПР: 80% жителей России поддерживают антитабачный закон.	Госдума приняла антитабачный законопроект во втором чтении.
1	СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.	СК проверит информацию о подкупе свидетеля по делу об убийстве Буданова.
1	ЕБРР повысил прогноз роста экономики РФ в 2013г.	ЕБРР повысил прогноз по росту экономики России.
1	В Ватикане перестали принимать платежи банковскими картами.	ЦБ Италии запретил платежи банковскими картами в Ватикане.
1	В Германии начался процесс по делу российских шпионов - супругов Аншлаг.	В Германии начался процесс над российскими шпионами.
1	Глава управы района Северное Медведково задержан за взятку.	Главу управы Северное Медведково поймали на взятке.
1	Болотное дело: в СКР на допрос ждут блогера Митю Алешковского.	Митю Алешковского вызвали на допрос по болотному делу.
1	США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.	Владелец платформы Deepwater Horizon оштрафован на 1,4 миллиарда долларов.
1	Корреспондента российского телеканала ранили в пригороде Дамаска.	В Сирии ранили корреспондента российского телеканала.
1	Взрыв на заправочной станции в Дамаске унес жизни 11 человек.	При взрыве на автозаправке в Дамаске погибли 11 человек.
1	В Эритрее произошла попытка государственного переворота.	В Эритрее произошла попытка военного переворота.
1	Старейший банк Швейцарии закрывается из-за американских клиентов.	Старейший банк Швейцарии закрылся из-за иска властей США.
1	Экономический ущерб от арабской весны составит $225 млрд.	Оценку убытков от арабской весны повысили до 225 миллиардов долларов.
1	Марокканские бедуины нашли в Сахаре уникальный марсианский метеорит.	В Сахаре обнаружен рекордно влажный марсианский метеорит.
1	Пошел на посадку: АэроСвит начал процедуру банкротства.	Украинский суд начал процедуру банкротства компании Аэросвит.
1	В египетский Суэц из-за беспорядков введены правительственные войска.	В египетский Суэц ввели войска.
1	РЖД подало иск о взыскании 2 млн рублей с Apple.	РЖД через суд потребовали с Apple 2 миллиона рублей.
1	Умер ветеран правозащитного движения В.Абрамкин.	Умер ветеран правозащитного движения Валерий Абрамкин.
1	В Египте приговорили к смерти участников погрома на стадионе в Порт-Саиде.	В Египте вынесен смертный приговор за погром на стадионе.
1	В египетский Порт-Саид вводят войска из-за разбушевавшихся фанатов.	Египетская армия блокировала Порт-Саид.
1	В Подмосковье накрыли сходку криминальных авторитетов.	На сходке криминальных авторитетов в Подмосковье задержаны 23 человека.
1	Пожар в новостройке на юго-западе Москвы: 10 погибших.	В пожаре на юго-западе Москвы погибли 9 человек.
1	Первый Patriot в Турции приведен в боевую готовность.	Первая батарея Patriot заступила на боевое дежурство в Турции.
1	Работа Генконсульства РФ в сирийском Алеппо временно приостановлена.	РФ приостановила деятельность консульства в Алеппо.
1	СМИ: Власти просят жителей Крымска вернуть часть компенсаций.	От жителей Крымска потребовали вернуть часть материальной помощи.
0	В главном здании МГУ загорелась столовая.	Из главного здания МГУ эвакуированы около 300 человек.
1	Пропавший на Эльбрусе альпинист найден мертвым на высоте 5 км.	На Эльбрусе нашли мертвым пропавшего московского альпиниста.
0	В правительстве вновь высказались за муниципальный фильтр на выборах.	Правительство выступило против отмены муниципального фильтра для парламентских партий.
1	РФ отправила за российскими гражданами в Сирию два самолета.	МЧС отправляет два самолета для вывоза россиян из Сирии.
1	При пожаре в ночном клубе в Бразилии погибли 245 человек.	При пожаре в бразильском ночном клубе погибли 90 человек.
